trial,seed,graph,n,m,density,bestSpan,time_sec
1,1235,sd_3_100.txt,100,693,0.14,116,0.625
2,1236,sd_3_100.txt,100,693,0.14,122,0.7160000801086426
3,1237,sd_3_100.txt,100,693,0.14,119,0.7230000495910645
4,1238,sd_3_100.txt,100,693,0.14,120,0.45600008964538574
5,1239,sd_3_100.txt,100,693,0.14,125,0.4930000305175781
6,1240,sd_3_100.txt,100,693,0.14,117,0.4890000820159912
7,1241,sd_3_100.txt,100,693,0.14,119,0.40600013732910156
8,1242,sd_3_100.txt,100,693,0.14,117,0.5750000476837158
9,1243,sd_3_100.txt,100,693,0.14,118,0.4759998321533203
10,1244,sd_3_100.txt,100,693,0.14,119,0.5449998378753662
11,1245,sd_3_100.txt,100,693,0.14,115,0.4809999465942383
12,1246,sd_3_100.txt,100,693,0.14,114,0.562999963760376
13,1247,sd_3_100.txt,100,693,0.14,116,0.5420000553131104
14,1248,sd_3_100.txt,100,693,0.14,116,0.5119998455047607
15,1249,sd_3_100.txt,100,693,0.14,117,0.48600006103515625
16,1250,sd_3_100.txt,100,693,0.14,118,0.4240000247955322
17,1251,sd_3_100.txt,100,693,0.14,120,0.4509999752044678
18,1252,sd_3_100.txt,100,693,0.14,112,0.4500000476837158
19,1253,sd_3_100.txt,100,693,0.14,112,0.4120001792907715
20,1254,sd_3_100.txt,100,693,0.14,115,0.4529998302459717
21,1255,sd_3_100.txt,100,693,0.14,115,0.4940001964569092
22,1256,sd_3_100.txt,100,693,0.14,123,0.4549999237060547
23,1257,sd_3_100.txt,100,693,0.14,119,0.3599998950958252
24,1258,sd_3_100.txt,100,693,0.14,118,0.42799997329711914
25,1259,sd_3_100.txt,100,693,0.14,120,0.41499996185302734
26,1260,sd_3_100.txt,100,693,0.14,121,0.4199998378753662
27,1261,sd_3_100.txt,100,693,0.14,122,0.41700005531311035
28,1262,sd_3_100.txt,100,693,0.14,117,0.47499990463256836
29,1263,sd_3_100.txt,100,693,0.14,116,0.43000006675720215
30,1264,sd_3_100.txt,100,693,0.14,117,0.4179999828338623
