familia,grafo,numero_vertices,numero_arestas,densidade,grau_maximo,diametro
AS-GRAPHS,as19971108,3015,5156,0.001134781742691101,590,9
AS-GRAPHS,as19971109,3011,5150,0.0011364752275984733,589,9
AS-GRAPHS,as19980102,3216,5705,0.0011035413910231114,640,9
AS-GRAPHS,as19980325,3488,6247,0.0010272427338239279,735,10
AS-GRAPHS,as19980520,2883,5233,0.001259627436240538,500,11
AS-GRAPHS,as19980709,3816,6937,0.0009530129055834439,828,12
AS-GRAPHS,as19981019,4197,7531,0.0008552797597266921,902,11
AS-GRAPHS,as19990225,4722,8842,0.0007932690733348639,1064,10
AS-GRAPHS,as19990530,5160,9882,0.000742437014564748,1159,9
CALMA,celar01,916,5548,0.013238838380222875,61,
CALMA,celar02,200,1235,0.06206030150753769,44,10
CALMA,celar08,916,5744,0.013706540673395853,62,
CALMA,CELAR6-SUB1,28,314,0.8306878306878307,27,2
CALMA,CELAR6-SUB4,44,499,0.5274841437632135,36,3
CALMA,graph03,200,1134,0.05698492462311558,18,6
CALMA,graph05,200,1134,0.05698492462311558,22,7
CALMA,graph09,916,5246,0.012518195050946142,37,8
CALMA,graph14,916,4638,0.011067363447634046,26,7
CALMA,TUD200.4,200,1142,0.057386934673366835,17,6
CALMA,TUD916.1,916,5177,0.012353544753859738,39,8
CALMA,TUD916.2,916,5173,0.012343999809101105,24,9
CUBIC,cubic_100,100,150,0.030303030303030304,3,9
CUBIC,cubic_1000,1000,1500,0.003003003003003003,3,13
CUBIC,cubic_1450,1450,2175,0.002070393374741201,3,13
CUBIC,cubic_150,150,225,0.020134228187919462,3,9
CUBIC,cubic_1500,1500,2250,0.0020013342228152103,3,14
CUBIC,cubic_1800,1800,2700,0.0016675931072818232,3,14
CUBIC,cubic_1950,1950,2925,0.0015392508978963571,3,14
CUBIC,cubic_2000,2000,3000,0.0015007503751875938,3,14
CUBIC,cubic_300,300,450,0.010033444816053512,3,10
CUBIC,cubic_350,350,525,0.008595988538681949,3,11
CUBIC,cubic_400,400,600,0.007518796992481203,3,11
CUBIC,cubic_700,700,1050,0.004291845493562232,3,12
DIMACS,C125.9,125,6963,0.8984516129032258,119,2
DIMACS,DSJC125.5,125,3891,0.5020645161290322,75,2
DIMACS,DSJC250.1,250,3218,0.10338955823293172,38,3
DIMACS,DSJR500.1,500,3555,0.028496993987975953,25,17
DIMACS,MANN_a9,45,918,0.9272727272727272,41,2
DIMACS,c-fat200-1,200,1534,0.0770854271356784,17,18
DIMACS,c-fat500-1,500,4459,0.03574348697394789,20,40
DIMACS,c-fat500-5,500,23191,0.1858997995991984,95,8
DIMACS,david,87,406,0.10852713178294573,82,3
DIMACS,flat300_28_0,300,21695,0.48372352285395764,162,2
DIMACS,fpsol2.i.1,269,11654,0.3233091050324585,252,3
DIMACS,fpsol2.i.2,363,8691,0.13227706497420208,346,3
DIMACS,homer,556,1628,0.010551558752997603,99,
DIMACS,huck,74,301,0.1114402073306183,53,
DIMACS,keller4,171,9435,0.6491228070175439,124,2
DIMACS,le450_25a,450,8260,0.08176194011383321,128,4
DIMACS,le450_5a,450,5714,0.056560257362039096,42,3
DIMACS,mulsol.i.5,176,3973,0.257987012987013,159,3
DIMACS,myciel3,11,20,0.36363636363636365,5,2
DIMACS,myciel4,23,71,0.28063241106719367,11,2
DIMACS,school1,385,19095,0.2583198051948052,282,
HARWELL-BOEING,bcspwr01,39,46,0.0620782726045884,5,11
HARWELL-BOEING,bcsstk01,48,176,0.15602836879432624,11,4
HARWELL-BOEING,bcsstk02,66,2145,1.0,65,1
HARWELL-BOEING,bcsstk08,1074,5943,0.01031410913899837,338,
HARWELL-BOEING,bcsstk10,1086,10492,0.017808556322190257,26,
HARWELL-BOEING,bcsstk12,1473,16384,0.015112606629475486,32,
HARWELL-BOEING,bcsstk19,817,3018,0.00905392756857945,10,86
HARWELL-BOEING,bcsstk21,3600,11500,0.0017751844648204748,8,
HARWELL-BOEING,bcsstk26,1922,14207,0.007695761995275397,32,29
HARWELL-BOEING,bcsstm13,2003,9970,0.004972561138312511,69,
HARWELL-BOEING,blckhole,2132,6370,0.0028041340948369597,19,
HARWELL-BOEING,can__715,715,2975,0.011655011655011656,104,14
HARWELL-BOEING,jagmesh1,936,2664,0.006088029617441382,6,48
HARWELL-BOEING,mhd3200b,3200,7558,0.0014766333229134104,9,
HARWELL-BOEING,nos1,237,390,0.01394550525638275,4,
HARWELL-BOEING,nos3,960,7442,0.016167014250955857,17,23
HARWELL-BOEING,nos7,729,1944,0.007326007326007326,6,24
HARWELL-BOEING,sherman1,1000,1375,0.0027527527527527527,6,
HARWELL-BOEING,zenios,2873,12159,0.0029471876766397746,46,
SMALL-DIAMETER,sd_3_100,100,693,0.14,22,3
SMALL-DIAMETER,sd_3_150,150,1100,0.09843400447427293,28,3
SMALL-DIAMETER,sd_3_200,200,1562,0.07849246231155779,32,3
SMALL-DIAMETER,sd_3_350,350,3116,0.051019238641015145,33,3
SMALL-DIAMETER,sd_3_375,375,3440,0.049055258467023174,30,3
SMALL-DIAMETER,sd_3_475,475,4566,0.04055962691538974,32,3
SMALL-DIAMETER,sd_4_150,150,754,0.06747203579418344,19,4
SMALL-DIAMETER,sd_4_325,325,1871,0.03553656220322887,23,4
SMALL-DIAMETER,sd_4_475,475,2912,0.025867199644681323,23,4
SMALL-DIAMETER,sd_5_100,100,431,0.08707070707070708,15,5
SMALL-DIAMETER,sd_5_125,125,581,0.07496774193548388,16,5
SMALL-DIAMETER,sd_5_225,225,1156,0.04587301587301587,19,5
SMALL-DIAMETER,sd_5_350,350,2013,0.032959476054031926,23,5
SMALL-DIAMETER,sd_5_475,475,2894,0.025707306240284254,24,5
