familia,grafo,numero_vertices,numero_arestas,densidade,grau_maximo,diametro
AS-GRAPHS,as19971108,3015,5156,0.001134781742691101,590,9
AS-GRAPHS,as19971109,3011,5150,0.0011364752275984733,589,9
AS-GRAPHS,as19971205,3130,5558,0.0011350072546118604,619,9
AS-GRAPHS,as19971206,3141,5576,0.0011307202663762808,618,9
AS-GRAPHS,as19980101,3213,5624,0.001089906005296819,640,9
AS-GRAPHS,as19980102,3216,5705,0.0011035413910231114,640,9
AS-GRAPHS,as19980128,3305,5891,0.0010789653947170807,673,9
AS-GRAPHS,as19980129,3316,5901,0.0010736372121456915,671,9
AS-GRAPHS,as19980225,3414,6071,0.0010420544762255897,694,10
AS-GRAPHS,as19980226,3422,6106,0.001043166702856886,696,10
AS-GRAPHS,as19980324,3480,6221,0.001027676733636631,736,10
AS-GRAPHS,as19980325,3488,6247,0.0010272427338239279,735,10
AS-GRAPHS,as19980422,3611,6481,0.0009943455323875724,757,11
AS-GRAPHS,as19980423,3607,6518,0.0010022417432302168,762,11
AS-GRAPHS,as19980519,3662,6651,0.00099219920483834,784,11
AS-GRAPHS,as19980520,2883,5233,0.001259627436240538,500,11
AS-GRAPHS,as19980617,3752,6834,0.0009711695928704727,818,11
AS-GRAPHS,as19980618,3758,6846,0.0009697703899324065,819,11
AS-GRAPHS,as19980709,3816,6937,0.0009530129055834439,828,12
AS-GRAPHS,as19980710,3811,6920,0.0009531739521801444,832,11
AS-GRAPHS,as19980806,3880,6830,0.000907609836736538,833,11
AS-GRAPHS,as19980807,3888,6876,0.0009099657929089367,845,11
AS-GRAPHS,as19980824,3991,7272,0.000913333195177872,855,11
AS-GRAPHS,as19980825,4008,7308,0.0009100839997070994,857,11
AS-GRAPHS,as19980921,4125,7591,0.0008924551039003028,866,11
AS-GRAPHS,as19980922,4134,7623,0.0008923187892277,870,11
AS-GRAPHS,as19981018,4190,7520,0.0008568868003539215,901,11
AS-GRAPHS,as19981019,4197,7531,0.0008552797597266921,902,11
AS-GRAPHS,as19990225,4722,8842,0.0007932690733348639,1064,10
AS-GRAPHS,as19990530,5160,9882,0.000742437014564748,1159,9
CALMA,celar01,916,5548,0.013238838380222875,61,
CALMA,celar02,200,1235,0.06206030150753769,44,10
CALMA,celar03,400,2760,0.03458646616541353,61,15
CALMA,celar04,680,3967,0.01718357446071212,62,36
CALMA,celar05,400,2598,0.03255639097744361,59,18
CALMA,celar06,200,1322,0.0664321608040201,44,9
CALMA,celar07,400,2865,0.03590225563909774,62,14
CALMA,celar08,916,5744,0.013706540673395853,62,
CALMA,celar09,680,4103,0.017772676080741574,62,36
CALMA,celar10,680,4103,0.017772676080741574,62,36
CALMA,celar11,680,4103,0.017772676080741574,62,36
CALMA,CELAR6-SUB0,32,223,0.4495967741935484,25,3
CALMA,CELAR6-SUB1,28,314,0.8306878306878307,27,2
CALMA,CELAR6-SUB2,32,369,0.7439516129032258,31,2
CALMA,CELAR6-SUB3,36,439,0.6968253968253968,35,2
CALMA,CELAR6-SUB4,44,499,0.5274841437632135,36,3
CALMA,graph01,200,1134,0.05698492462311558,22,7
CALMA,graph02,400,2245,0.028132832080200502,31,6
CALMA,graph03,200,1134,0.05698492462311558,18,6
CALMA,graph04,400,2244,0.028120300751879698,20,7
CALMA,graph05,200,1134,0.05698492462311558,22,7
CALMA,graph06,400,2170,0.027192982456140352,24,8
CALMA,graph07,400,2170,0.027192982456140352,24,8
CALMA,graph08,680,3757,0.016273932253313698,22,7
CALMA,graph09,916,5246,0.012518195050946142,37,8
CALMA,graph10,680,3907,0.016923676687169712,24,7
CALMA,graph11,680,3757,0.016273932253313698,22,7
CALMA,graph12,680,4017,0.017400155938664126,20,7
CALMA,graph13,916,5273,0.01258262342806691,21,7
CALMA,graph14,916,4638,0.011067363447634046,26,7
CALMA,TUD200.1,200,1171,0.05884422110552764,21,5
CALMA,TUD200.2,200,1143,0.05743718592964824,24,6
CALMA,TUD200.3,200,1160,0.05829145728643216,19,5
CALMA,TUD200.4,200,1142,0.057386934673366835,17,6
CALMA,TUD200.5,200,1125,0.056532663316582916,23,6
CALMA,TUD916.1,916,5177,0.012353544753859738,39,8
CALMA,TUD916.2,916,5173,0.012343999809101105,24,9
CALMA,TUD916.3,916,5262,0.012556374829980671,23,8
CALMA,TUD916.4,916,5183,0.012367862170997685,24,8
CALMA,TUD916.5,916,5213,0.012439449256687427,24,8
CUBIC,cubic_100,100,150,0.030303030303030304,3,9
CUBIC,cubic_1000,1000,1500,0.003003003003003003,3,13
CUBIC,cubic_1050,1050,1575,0.002859866539561487,3,13
CUBIC,cubic_1100,1100,1650,0.00272975432211101,3,13
CUBIC,cubic_1150,1150,1725,0.0026109660574412533,3,13
CUBIC,cubic_1200,1200,1800,0.0025020850708924102,3,13
CUBIC,cubic_1250,1250,1875,0.0024019215372297837,3,13
CUBIC,cubic_1300,1300,1950,0.0023094688221709007,3,13
CUBIC,cubic_1350,1350,2025,0.002223869532987398,3,13
CUBIC,cubic_1400,1400,2100,0.002144388849177984,3,13
CUBIC,cubic_1450,1450,2175,0.002070393374741201,3,13
CUBIC,cubic_150,150,225,0.020134228187919462,3,9
CUBIC,cubic_1500,1500,2250,0.0020013342228152103,3,14
CUBIC,cubic_1550,1550,2325,0.001936733376371853,3,13
CUBIC,cubic_1600,1600,2400,0.001876172607879925,3,13
CUBIC,cubic_1650,1650,2475,0.0018192844147968466,3,14
CUBIC,cubic_1700,1700,2550,0.0017657445556209534,3,13
CUBIC,cubic_1750,1750,2625,0.0017152658662092624,3,14
CUBIC,cubic_1800,1800,2700,0.0016675931072818232,3,14
CUBIC,cubic_1850,1850,2775,0.0016224986479177934,3,14
CUBIC,cubic_1900,1900,2850,0.001579778830963665,3,14
CUBIC,cubic_1950,1950,2925,0.0015392508978963571,3,14
CUBIC,cubic_200,200,300,0.01507537688442211,3,10
CUBIC,cubic_2000,2000,3000,0.0015007503751875938,3,14
CUBIC,cubic_250,250,375,0.012048192771084338,3,10
CUBIC,cubic_300,300,450,0.010033444816053512,3,10
CUBIC,cubic_350,350,525,0.008595988538681949,3,11
CUBIC,cubic_400,400,600,0.007518796992481203,3,11
CUBIC,cubic_450,450,675,0.0066815144766146995,3,11
